CopyPack ID,Product Name,Product ID,Lane,Formula,Formula Meaning,Guide Angle Label,Guide Use Case,Guide Best For,Guide Tone,Guide Claim Risk,Guide Do,Guide Do Not,Guide Production Readiness,Guide Operator Note,Guide Compliance Note,Status
CAP_BURUNG_MINYAK_CP_0005,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Pocket Traditional Oil Cue,Short cue highlighting portability and on-the-go household reach,Operators needing a quick scale/portability beat in a script,"Light, practical, everyday",LOW - portability framing carries no treatment claim,"Keep the cue focused on convenience and everyday reach (bag, pocket, car)",Do not let the portability cue carry any health-outcome claim,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Pocket Traditional Oil Cue' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - portability cues must stay convenience-only; no health-outcome language attached,SEED_READY
CAP_BURUNG_MINYAK_CP_0006,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Everyday External-Use Comfort,Core everyday-comfort angle built around routine external use,Operators building the primary DIRECT lane narrative spine,"Steady, dependable, down-to-earth",LOW - everyday-comfort framing is the lowest-risk angle in this lane,"Build the angle around dependable everyday comfort, not symptom resolution","Do not describe the product as resolving, easing, or removing an illness",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Everyday External-Use Comfort' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - everyday-comfort angle must avoid all symptom-resolution language,SEED_READY
CAP_BURUNG_MINYAK_CP_0007,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Heritage Trust Angle,Angle that builds credibility through long-standing brand and tradition trust,Operators targeting audiences who respond to heritage and trust cues,"Credible, respectful, time-tested",LOW-MODERATE - heritage trust must not be used to imply proven medical efficacy,"Lean on tradition, familiarity, and household trust as the credibility base",Do not use heritage cues to imply the product is medically proven or clinically tested,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Heritage Trust Angle' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - heritage-trust framing must not be used as a stand-in for medical proof claims,SEED_READY
CAP_BURUNG_MINYAK_CP_0008,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Practical Home-Use Reminder,Reminder beat that nudges the viewer to keep the product within reach at home,Operators needing a closing or mid-script practical nudge,"Friendly, practical, no-pressure",LOW - reminder framing keeps pressure and claim surface low,Frame the reminder around having a trusted household item on hand,Do not turn the reminder into an urgency push or a health-outcome promise,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Practical Home-Use Reminder' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - reminder beats must stay practical/household-level, no urgency or outcome language",SEED_READY
CAP_BURUNG_MINYAK_CP_0009,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Traditional Household Comfort,General household-comfort framing for everyday discomfort moments,Operators building broad-appeal DIRECT lane household content,"Warm, familiar, grounded","LOW - comfort framing only, no treatment claim",Frame around everyday comfort and familiar household habits,"Do not say the product cures, treats, or heals any condition or illness",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Traditional Household Comfort' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - comfort language only; no cure/treat/heal wording per compliance class DIRECT,SEED_READY
CAP_BURUNG_MINYAK_CP_0010,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Sapuan Luar Comfort Cue,Cue line anchored in the external-application (sapuan luar) usage moment,Operators scripting the literal application beat of the routine,"Practical, instructional, calm",LOW - external-use framing keeps claim surface to comfort only,Describe the external application as a comfort step in a daily routine,Do not imply the application removes illness or treats an underlying condition,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Sapuan Luar Comfort Cue' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - external-use (sapuan luar) framing must stay comfort-level, never treatment-level",SEED_READY
CAP_BURUNG_MINYAK_CP_0011,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Warm Heritage Relief Positioning,Positioning that connects the product to a long-standing household remedy tradition,Operators leaning into heritage-trust storytelling,"Nostalgic, respectful, reassuring","LOW-MODERATE - 'relief' must stay framed as comfort, not medical relief","Anchor 'relief' in everyday comfort and family tradition, not medical outcomes",Do not pair 'relief' with any claim that the product removes or treats illness,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Warm Heritage Relief Positioning' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - 'relief' positioning must read as comfort/heritage, not a medical relief claim",SEED_READY
CAP_BURUNG_MINYAK_CP_0012,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Family Routine Angle,Angle framing the product as part of a shared family routine or ritual,Operators building multi-generational household appeal,"Inclusive, caring, routine-oriented",LOW - family-routine framing keeps the claim surface minimal,Show the product as a shared household habit passed between family members,Do not attach the routine to claims about preventing or curing illness,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Family Routine Angle' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - family-routine framing must remain habit-level, not preventive-health-level",SEED_READY
CAP_BURUNG_MINYAK_CP_0013,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Pocket Traditional Oil Cue,Short cue highlighting portability and on-the-go household reach,Operators needing a quick scale/portability beat in a script,"Light, practical, everyday",LOW - portability framing carries no treatment claim,"Keep the cue focused on convenience and everyday reach (bag, pocket, car)",Do not let the portability cue carry any health-outcome claim,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Pocket Traditional Oil Cue' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - portability cues must stay convenience-only; no health-outcome language attached,SEED_READY
CAP_BURUNG_MINYAK_CP_0014,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Everyday External-Use Comfort,Core everyday-comfort angle built around routine external use,Operators building the primary DIRECT lane narrative spine,"Steady, dependable, down-to-earth",LOW - everyday-comfort framing is the lowest-risk angle in this lane,"Build the angle around dependable everyday comfort, not symptom resolution","Do not describe the product as resolving, easing, or removing an illness",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Everyday External-Use Comfort' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - everyday-comfort angle must avoid all symptom-resolution language,SEED_READY
CAP_BURUNG_MINYAK_CP_0015,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Heritage Trust Angle,Angle that builds credibility through long-standing brand and tradition trust,Operators targeting audiences who respond to heritage and trust cues,"Credible, respectful, time-tested",LOW-MODERATE - heritage trust must not be used to imply proven medical efficacy,"Lean on tradition, familiarity, and household trust as the credibility base",Do not use heritage cues to imply the product is medically proven or clinically tested,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Heritage Trust Angle' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - heritage-trust framing must not be used as a stand-in for medical proof claims,SEED_READY
CAP_BURUNG_MINYAK_CP_0016,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,HSO,Hook -> Story -> Offer,Practical Home-Use Reminder,Reminder beat that nudges the viewer to keep the product within reach at home,Operators needing a closing or mid-script practical nudge,"Friendly, practical, no-pressure",LOW - reminder framing keeps pressure and claim surface low,Frame the reminder around having a trusted household item on hand,Do not turn the reminder into an urgency push or a health-outcome promise,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Practical Home-Use Reminder' angle on Minyak Warisan Cap Burung. HSO structure - open on a familiar household hook, carry a short heritage or family story beat, land on the offer plainly. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - reminder beats must stay practical/household-level, no urgency or outcome language",SEED_READY
CAP_BURUNG_MINYAK_CP_0017,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Traditional Household Comfort,General household-comfort framing for everyday discomfort moments,Operators building broad-appeal DIRECT lane household content,"Warm, familiar, grounded","LOW - comfort framing only, no treatment claim",Frame around everyday comfort and familiar household habits,"Do not say the product cures, treats, or heals any condition or illness",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Traditional Household Comfort' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - comfort language only; no cure/treat/heal wording per compliance class DIRECT,SEED_READY
CAP_BURUNG_MINYAK_CP_0018,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,HSO,Hook -> Story -> Offer,Sapuan Luar Comfort Cue,Cue line anchored in the external-application (sapuan luar) usage moment,Operators scripting the literal application beat of the routine,"Practical, instructional, calm",LOW - external-use framing keeps claim surface to comfort only,Describe the external application as a comfort step in a daily routine,Do not imply the application removes illness or treats an underlying condition,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Sapuan Luar Comfort Cue' angle on Minyak Warisan Cap Burung. HSO structure - open on a familiar household hook, carry a short heritage or family story beat, land on the offer plainly. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - external-use (sapuan luar) framing must stay comfort-level, never treatment-level",SEED_READY
CAP_BURUNG_MINYAK_CP_0019,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Warm Heritage Relief Positioning,Positioning that connects the product to a long-standing household remedy tradition,Operators leaning into heritage-trust storytelling,"Nostalgic, respectful, reassuring","LOW-MODERATE - 'relief' must stay framed as comfort, not medical relief","Anchor 'relief' in everyday comfort and family tradition, not medical outcomes",Do not pair 'relief' with any claim that the product removes or treats illness,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Warm Heritage Relief Positioning' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - 'relief' positioning must read as comfort/heritage, not a medical relief claim",SEED_READY
CAP_BURUNG_MINYAK_CP_0020,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Family Routine Angle,Angle framing the product as part of a shared family routine or ritual,Operators building multi-generational household appeal,"Inclusive, caring, routine-oriented",LOW - family-routine framing keeps the claim surface minimal,Show the product as a shared household habit passed between family members,Do not attach the routine to claims about preventing or curing illness,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Family Routine Angle' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - family-routine framing must remain habit-level, not preventive-health-level",SEED_READY
CAP_BURUNG_MINYAK_CP_0021,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Pocket Traditional Oil Cue,Short cue highlighting portability and on-the-go household reach,Operators needing a quick scale/portability beat in a script,"Light, practical, everyday",LOW - portability framing carries no treatment claim,"Keep the cue focused on convenience and everyday reach (bag, pocket, car)",Do not let the portability cue carry any health-outcome claim,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Pocket Traditional Oil Cue' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - portability cues must stay convenience-only; no health-outcome language attached,SEED_READY
CAP_BURUNG_MINYAK_CP_0022,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Everyday External-Use Comfort,Core everyday-comfort angle built around routine external use,Operators building the primary DIRECT lane narrative spine,"Steady, dependable, down-to-earth",LOW - everyday-comfort framing is the lowest-risk angle in this lane,"Build the angle around dependable everyday comfort, not symptom resolution","Do not describe the product as resolving, easing, or removing an illness",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Everyday External-Use Comfort' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - everyday-comfort angle must avoid all symptom-resolution language,SEED_READY
CAP_BURUNG_MINYAK_CP_0023,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Heritage Trust Angle,Angle that builds credibility through long-standing brand and tradition trust,Operators targeting audiences who respond to heritage and trust cues,"Credible, respectful, time-tested",LOW-MODERATE - heritage trust must not be used to imply proven medical efficacy,"Lean on tradition, familiarity, and household trust as the credibility base",Do not use heritage cues to imply the product is medically proven or clinically tested,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Heritage Trust Angle' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - heritage-trust framing must not be used as a stand-in for medical proof claims,SEED_READY
CAP_BURUNG_MINYAK_CP_0024,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,HSO,Hook -> Story -> Offer,Practical Home-Use Reminder,Reminder beat that nudges the viewer to keep the product within reach at home,Operators needing a closing or mid-script practical nudge,"Friendly, practical, no-pressure",LOW - reminder framing keeps pressure and claim surface low,Frame the reminder around having a trusted household item on hand,Do not turn the reminder into an urgency push or a health-outcome promise,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Practical Home-Use Reminder' angle on Minyak Warisan Cap Burung. HSO structure - open on a familiar household hook, carry a short heritage or family story beat, land on the offer plainly. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - reminder beats must stay practical/household-level, no urgency or outcome language",SEED_READY
CAP_BURUNG_MINYAK_CP_0025,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Traditional Household Comfort,General household-comfort framing for everyday discomfort moments,Operators building broad-appeal DIRECT lane household content,"Warm, familiar, grounded","LOW - comfort framing only, no treatment claim",Frame around everyday comfort and familiar household habits,"Do not say the product cures, treats, or heals any condition or illness",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Traditional Household Comfort' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - comfort language only; no cure/treat/heal wording per compliance class DIRECT,SEED_READY
CAP_BURUNG_MINYAK_CP_0026,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Sapuan Luar Comfort Cue,Cue line anchored in the external-application (sapuan luar) usage moment,Operators scripting the literal application beat of the routine,"Practical, instructional, calm",LOW - external-use framing keeps claim surface to comfort only,Describe the external application as a comfort step in a daily routine,Do not imply the application removes illness or treats an underlying condition,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Sapuan Luar Comfort Cue' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - external-use (sapuan luar) framing must stay comfort-level, never treatment-level",SEED_READY
CAP_BURUNG_MINYAK_CP_0027,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Warm Heritage Relief Positioning,Positioning that connects the product to a long-standing household remedy tradition,Operators leaning into heritage-trust storytelling,"Nostalgic, respectful, reassuring","LOW-MODERATE - 'relief' must stay framed as comfort, not medical relief","Anchor 'relief' in everyday comfort and family tradition, not medical outcomes",Do not pair 'relief' with any claim that the product removes or treats illness,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Warm Heritage Relief Positioning' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - 'relief' positioning must read as comfort/heritage, not a medical relief claim",SEED_READY
CAP_BURUNG_MINYAK_CP_0028,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,HSO,Hook -> Story -> Offer,Family Routine Angle,Angle framing the product as part of a shared family routine or ritual,Operators building multi-generational household appeal,"Inclusive, caring, routine-oriented",LOW - family-routine framing keeps the claim surface minimal,Show the product as a shared household habit passed between family members,Do not attach the routine to claims about preventing or curing illness,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Family Routine Angle' angle on Minyak Warisan Cap Burung. HSO structure - open on a familiar household hook, carry a short heritage or family story beat, land on the offer plainly. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - family-routine framing must remain habit-level, not preventive-health-level",SEED_READY
CAP_BURUNG_MINYAK_CP_0029,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Pocket Traditional Oil Cue,Short cue highlighting portability and on-the-go household reach,Operators needing a quick scale/portability beat in a script,"Light, practical, everyday",LOW - portability framing carries no treatment claim,"Keep the cue focused on convenience and everyday reach (bag, pocket, car)",Do not let the portability cue carry any health-outcome claim,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Pocket Traditional Oil Cue' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - portability cues must stay convenience-only; no health-outcome language attached,SEED_READY
CAP_BURUNG_MINYAK_CP_0030,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Everyday External-Use Comfort,Core everyday-comfort angle built around routine external use,Operators building the primary DIRECT lane narrative spine,"Steady, dependable, down-to-earth",LOW - everyday-comfort framing is the lowest-risk angle in this lane,"Build the angle around dependable everyday comfort, not symptom resolution","Do not describe the product as resolving, easing, or removing an illness",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Everyday External-Use Comfort' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - everyday-comfort angle must avoid all symptom-resolution language,SEED_READY
CAP_BURUNG_MINYAK_CP_0031,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Heritage Trust Angle,Angle that builds credibility through long-standing brand and tradition trust,Operators targeting audiences who respond to heritage and trust cues,"Credible, respectful, time-tested",LOW-MODERATE - heritage trust must not be used to imply proven medical efficacy,"Lean on tradition, familiarity, and household trust as the credibility base",Do not use heritage cues to imply the product is medically proven or clinically tested,Approved - cleared for production use under current compliance class,"Use this row for the 'Heritage Trust Angle' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - heritage-trust framing must not be used as a stand-in for medical proof claims,APPROVED
CAP_BURUNG_MINYAK_CP_0032,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Practical Home-Use Reminder,Reminder beat that nudges the viewer to keep the product within reach at home,Operators needing a closing or mid-script practical nudge,"Friendly, practical, no-pressure",LOW - reminder framing keeps pressure and claim surface low,Frame the reminder around having a trusted household item on hand,Do not turn the reminder into an urgency push or a health-outcome promise,Approved - cleared for production use under current compliance class,"Use this row for the 'Practical Home-Use Reminder' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - reminder beats must stay practical/household-level, no urgency or outcome language",APPROVED
CAP_BURUNG_MINYAK_CP_0033,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Traditional Household Comfort,General household-comfort framing for everyday discomfort moments,Operators building broad-appeal DIRECT lane household content,"Warm, familiar, grounded","LOW - comfort framing only, no treatment claim",Frame around everyday comfort and familiar household habits,"Do not say the product cures, treats, or heals any condition or illness",Approved - cleared for production use under current compliance class,"Use this row for the 'Traditional Household Comfort' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - comfort language only; no cure/treat/heal wording per compliance class DIRECT,APPROVED
CAP_BURUNG_MINYAK_CP_0034,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Sapuan Luar Comfort Cue,Cue line anchored in the external-application (sapuan luar) usage moment,Operators scripting the literal application beat of the routine,"Practical, instructional, calm",LOW - external-use framing keeps claim surface to comfort only,Describe the external application as a comfort step in a daily routine,Do not imply the application removes illness or treats an underlying condition,Approved - cleared for production use under current compliance class,"Use this row for the 'Sapuan Luar Comfort Cue' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - external-use (sapuan luar) framing must stay comfort-level, never treatment-level",APPROVED
CAP_BURUNG_MINYAK_CP_0035,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Warm Heritage Relief Positioning,Positioning that connects the product to a long-standing household remedy tradition,Operators leaning into heritage-trust storytelling,"Nostalgic, respectful, reassuring","LOW-MODERATE - 'relief' must stay framed as comfort, not medical relief","Anchor 'relief' in everyday comfort and family tradition, not medical outcomes",Do not pair 'relief' with any claim that the product removes or treats illness,Approved - cleared for production use under current compliance class,"Use this row for the 'Warm Heritage Relief Positioning' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - 'relief' positioning must read as comfort/heritage, not a medical relief claim",APPROVED
CAP_BURUNG_MINYAK_CP_0036,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Family Routine Angle,Angle framing the product as part of a shared family routine or ritual,Operators building multi-generational household appeal,"Inclusive, caring, routine-oriented",LOW - family-routine framing keeps the claim surface minimal,Show the product as a shared household habit passed between family members,Do not attach the routine to claims about preventing or curing illness,Approved - cleared for production use under current compliance class,"Use this row for the 'Family Routine Angle' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - family-routine framing must remain habit-level, not preventive-health-level",APPROVED
CAP_BURUNG_MINYAK_CP_0037,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,HSO,Hook -> Story -> Offer,Pocket Traditional Oil Cue,Short cue highlighting portability and on-the-go household reach,Operators needing a quick scale/portability beat in a script,"Light, practical, everyday",LOW - portability framing carries no treatment claim,"Keep the cue focused on convenience and everyday reach (bag, pocket, car)",Do not let the portability cue carry any health-outcome claim,Approved - cleared for production use under current compliance class,"Use this row for the 'Pocket Traditional Oil Cue' angle on Minyak Warisan Cap Burung. HSO structure - open on a familiar household hook, carry a short heritage or family story beat, land on the offer plainly. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - portability cues must stay convenience-only; no health-outcome language attached,APPROVED
CAP_BURUNG_MINYAK_CP_0038,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,HSO,Hook -> Story -> Offer,Everyday External-Use Comfort,Core everyday-comfort angle built around routine external use,Operators building the primary DIRECT lane narrative spine,"Steady, dependable, down-to-earth",LOW - everyday-comfort framing is the lowest-risk angle in this lane,"Build the angle around dependable everyday comfort, not symptom resolution","Do not describe the product as resolving, easing, or removing an illness",Approved - cleared for production use under current compliance class,"Use this row for the 'Everyday External-Use Comfort' angle on Minyak Warisan Cap Burung. HSO structure - open on a familiar household hook, carry a short heritage or family story beat, land on the offer plainly. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - everyday-comfort angle must avoid all symptom-resolution language,APPROVED
